,Unnamed: 0.1,Unnamed: 0,Sukupuoli,Minkä ikäisenä opit neulomaan?,Kuka sinut opetti neulomaan?,Mitä seuraavista vaihtoehdoista neulot?,Missä neulot?,Neulotko yksin vai yhdessä?,Kuinka monta tuntia arviolta neulot viikossa?,Mitä neulominen sinulle merkitsee?,Paljonko käytät lankoihin keskimäärin rahaa kuukaudessa?,Minkä valmistajien lankoja ostat?,Valitse kolme tärkeintä ominaisuutta lankaa valitessa,Kenelle neulot?,Minkä vahvuisia lankoja käytät?,Mistä hankit neuleohjeesi?,Mitä seuraavista neulot mieluiten?,Mitä värejä käytät neuleissasi mieluiten?,Käytätkö ennemmin murrettuja vai kirkkaita sävyjä?,Mitä materiaaleja suosit neulelangoissa?,Mitä materiaaleja suosit neulepuikoissa?,Teetkö muita käsitöitä?,Teetkö neulonnan ohessa yleensä jotain seuraavista?,"Millaista ""neulesomea"" kulutat netissä?",xMinkä vahvuisia lankoja käytät?
0,0,0,Nainen,13,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Housuja;Hameita/mekkoja,Kotona/vapaa-ajan asunnolla;Neuletapahtumissa;Neulekurssilla,Yksin;Neulekerhossa tai -kahvilassa,20-29 tuntia,"Rentoutumista;Muistin ja toimintakyvyn ylläpitoa;Hyväntekeväisyyttä, toisten auttamista",30 - 39 €,Alize;Austermann;DROPS;Katia;Novita;Opal;Regia,Hinta;Materiaali;Väri,Itselle;Perheelle;Sukulaisille;Ystäville;Hyväntekeväisyyteen,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta,Sinistä;Vihreää;Keltaista;Punaista;Oranssia;Pinkkiä;Lilaa/violettia,Kirkkaita ja neonvärejä,100% villa;Villasekoite;Merinovilla;Alpakka;Silkki;Jakki;Bambu,Koivu;Metalli,En juurikaan,Kuuntelen äänikirjaa;Katson televisiota,Instagram;Facebook-sivut;Facebook-ryhmät,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g)
1,1,1,Nainen,8,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Hameita/mekkoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Neulekurssilla;Kirjastossa,Yksin;Perheen seurassa;Ystävien kesken;Neulekerhossa tai -kahvilassa,20-29 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Sosiaalista kanssakäymistä, yhdessä oloa",80 - 89 €,Adelia Fibres;Alize;Austermann;DROPS;Freija yarn;Jalovilla;Katia;Lankava;Louhittaren Luola;Lucky Omen Yarns;Novita;Nurja;Pirtin Kehräämö;Regia;Rva Silmusolmu;SagaWool;Sandnes Garn;Vuonue;Wool me once;Neulojan Sohvilla,Materiaali;Vahvuus;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Lace (605–1000 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g);Chunky (80–160 m / 100 g),Kirjoista;Lehdistä;Netistä;Omasta päästä,Raitoja;Toistuvaa pintakuviota;Yksiväristä ilman pintakuvioita,"Sinistä;Vihreää;Keltaista;Punaista;Oranssia;Pinkkiä;Lilaa/violettia;Beigeä, ruskeaa",Kirkkaita ja neonvärejä,100% villa;Villasekoite;Alpakka,Koivu;Bambu,Virkkaus,Kuuntelen radiota/musiikkia;Katson televisiota;Seurustelen ihmisten kanssa,Neulepodcastit;Instagram;Facebook-sivut;Facebook-ryhmät;Ravelry;Neuleblogit;Youtube;Neulontaan liittyvät sarjat esim Areenassa,Lace (600–1000 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g);Chunky (80–160 m / 100 g)
2,2,2,Nainen,47,Opettelin itse,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Rannalla;Autossa;Neulekurssilla,Yksin;Perheen seurassa;Ystävien kesken;Neulekerhossa tai -kahvilassa,10-19 tuntia,"Rentoutumista;Itseilmaisua;Muistin ja toimintakyvyn ylläpitoa;Sosiaalista kanssakäymistä, yhdessä oloa;Tarpeeseen tekemistä",10 - 19 €,Adelia Fibres;Austermann;DROPS;Handu;Katia;Novita;Nurja;Opal;Rva Silmusolmu,Käsinvärjätty;Materiaali;Vahvuus,Itselle;Perheelle;Sukulaisille,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g),Kirjoista;Lehdistä;Netistä,Yksiväristä ilman pintakuvioita,"Pinkkiä;Lilaa/violettia;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",Villasekoite;Merinovilla,Alumiini,Virkkaus,Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Neulepodcastit;Instagram;Facebook-ryhmät;Ravelry;Youtube,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g)
3,3,3,Nainen,40,Ystävä,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Autossa;Nuotiopaikoilla/laavulla/taukopaikalla;Neulekurssilla;Käsityöyhdistyksen tiloissa,Yksin;Ystävien kesken;Neulekerhossa tai -kahvilassa,6-9 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Sosiaalista kanssakäymistä, yhdessä oloa;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",50 - 59 €,Adelia Fibres;Alize;DROPS;Lankava;Lucky Omen Yarns;Novita;Rva Silmusolmu;SagaWool,Hinta;Käsinvärjätty;Materiaali,Itselle;Perheelle;Ystäville;Hyväntekeväisyyteen,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Aran (165–200 m / 100 g),Kirjoista;Lehdistä;Netistä;Ystäviltä tai sukulaisilta;Omasta päästä,Kirjoneuletta;Palmikkoneuletta;Toistuvaa pintakuviota,Sinistä;Vihreää;Punaista;Pinkkiä;Lilaa/violettia,"Murrettuja, luonnonläheisiä sävyjä","100% villa;Villasekoite;Merinovilla;Alpakka;Keinokuidut (kuten akryyli, nylon, polyesteri);Bambu",Koivu;Alumiini,"Virkkaus;Kirjonta/ristipistot;Kudonta;Puutyöt;Lasityöt;Keramiikka;Nahkatyöt;Macrame;Askartelu;Huovutus;Tuftaus;Tuohityöt;Langanvärjäys;Maalaus: taulut, kivet, lasipurkit & mosaiikkityöt",Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa;Katson televisiota;Keskityn vain neulomiseen,Neulepodcastit;Instagram;Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry;Youtube,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Aran (160–200 m / 100 g)
4,4,4,Nainen,9,Äiti,Sukkia/tossuja;Lapasia/sormikkaita;Pipoja/päähineitä;Neulepaitoja;Housuja,Kotona/vapaa-ajan asunnolla;Neuletapahtumissa;Autossa;Odotustilassa (esim. terveyskeskus/virasto),Yksin;Perheen seurassa;Ystävien kesken,2-5 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Eettisiä/ekologisia vaatteita;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",Alle 10 €,DROPS;Istex;Jalovilla;Katia;Novita;SagaWool;Tukuwool;Idän kehräämö,Kotimaisuusaste;Materiaali;Vastuullisuus,Itselle;Perheelle;Sukulaisille;Ystäville;Hyväntekeväisyyteen,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Aran (165–200 m / 100 g),Kirjoista;Lehdistä;Netistä;Omasta päästä,Kirjoneuletta;Raitoja;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Vihreää;Keltaista;Punaista;Oranssia","Murrettuja, luonnonläheisiä sävyjä",100% villa;Merinovilla;Pellava,Metalli;Hiilikuitu,Virkkaus;Ompelu;Askartelu;Langanvärjäys;Kaikenlainen tuunaus,Katson televisiota;Seurustelen ihmisten kanssa,Neulepodcastit;Instagram;Youtube;Neulontaan liittyvät sarjat esim Areenassa,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Aran (160–200 m / 100 g)
5,5,5,Nainen,32,Ystävä,Neulepaitoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Neuletapahtumissa;Rannalla;Autossa;Nuotiopaikoilla/laavulla/taukopaikalla,Yksin;Perheen seurassa;Ystävien kesken;Neulekerhossa tai -kahvilassa,6-9 tuntia,Rentoutumista;Itseilmaisua;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Tarpeeseen tekemistä,20 - 29 €,DROPS;Letlop,Hinta;Materiaali;Vahvuus,Itselle;Perheelle;Ystäville,Aran (165–200 m / 100 g),Kirjoista;Ystäviltä tai sukulaisilta;Omasta päästä,Kirjoneuletta;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Keltaista;Oranssia;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Puuvilla,Metalli;Bambu,En juurikaan,Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Instagram,Aran (160–200 m / 100 g)
6,6,6,Nainen,8,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla,Perheen seurassa,2-5 tuntia,"Rentoutumista;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",10 - 19 €,Novita,Hinta;Konepestävyys;Materiaali,Itselle;Perheelle;Sukulaisille;Hyväntekeväisyyteen,Sport (275–360 m / 100 g),Lehdistä;Netistä;Ystäviltä tai sukulaisilta,Kirjoneuletta,Vihreää,"Murrettuja, luonnonläheisiä sävyjä",Villasekoite,Bambu,En juurikaan;Virkkaus,Kuuntelen radiota/musiikkia;Katson televisiota,En mitään yllä olevista,Sport (270–360 m / 100 g)
7,7,7,Nainen,10,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Hameita/mekkoja,Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Kampaajalla;Neulekurssilla,Yksin;Ystävien kesken,2-5 tuntia,"Rentoutumista;Muistin ja toimintakyvyn ylläpitoa;Sosiaalista kanssakäymistä, yhdessä oloa;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",Alle 10 €,Adelia Fibres;Lucky Omen Yarns;Nurja;Rva Silmusolmu,Käsinvärjätty;Materiaali;Vahvuus,Itselle;Perheelle;Sukulaisille;Ystäville;Hyväntekeväisyyteen,Lace (605–1000 m / 100 g);Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g),Kirjoista;Netistä;Omasta päästä,Kirjoneuletta,"Mustaa, valkoista ja harmaata;Oranssia","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Merinovilla;Mohair,Metalli,En juurikaan,Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Instagram;Ravelry;Youtube,Lace (600–1000 m / 100 g);Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g)
8,8,8,Nainen,7,Isoäiti,Sukkia/tossuja;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla;Kahvilassa;Neuletapahtumissa;Puistossa;Odotustilassa (esim. terveyskeskus/virasto);Kampaajalla;Kyläyhdistyksen tiloissa,Yksin;Ystävien kesken;Neulekerhossa tai -kahvilassa,2-5 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Sosiaalista kanssakäymistä, yhdessä oloa;Eettisiä/ekologisia vaatteita",10 - 19 €,Adelia Fibres;Handu;Katia;Louhittaren Luola;Lucky Omen Yarns;Nurja;Opal;Pirtin Kehräämö;Regia;Rva Silmusolmu;SagaWool;Sandnes Garn;Tukuwool;Wool me once,Materiaali;Vahvuus;Villan alkuperä,Itselle;Perheelle;Sukulaisille;Ystäville,Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g),Kirjoista;Netistä,Toistuvaa pintakuviota,"Vihreää;Punaista;Pinkkiä;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Merinovilla,Metalli,Virkkaus;Kirjonta/ristipistot;Ompelu;Langanvärjäys;Kehrääminen,Kuuntelen äänikirjaa;Katson televisiota,Instagram;Facebook-sivut;Ravelry;Youtube,Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g)
9,9,9,Nainen,8,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Lapasia/sormikkaita;Neulepaitoja,Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Autossa;Koulutuksissa ja työpaikan kokoontumisissa,Yksin,20-29 tuntia,Rentoutumista;Eettisiä/ekologisia vaatteita;Tarpeeseen tekemistä,10 - 19 €,Istex;Novita,Hinta;Konepestävyys;Materiaali,Itselle;Perheelle,DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta;Raitoja,"Mustaa, valkoista ja harmaata;Sinistä;Vihreää;Keltaista;Punaista;Oranssia;Pinkkiä","Murrettuja, luonnonläheisiä sävyjä",Villasekoite,Koivu;Metalli;Hiilikuitu,Virkkaus;Ompelu;Askartelu,Kuuntelen radiota/musiikkia;Luen;Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Facebook-sivut;Facebook-ryhmät;Pinterest;Youtube,DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
